time,open,high,low,close,volume
2022-10-13 20:00:00,221.2,221.36,220.2,220.51,140912
2022-10-13 19:00:00,221.45,221.69,218.25,221.13,204989
2022-10-13 18:00:00,221.55,221.6749,221.41,221.4507,67441
2022-10-13 17:00:00,221.72,222.49,221.14,221.5,814747
2022-10-13 16:00:00,221.3846,222.36,219.8,221.7,9696913
2022-10-13 15:00:00,221.0099,221.78,218.68,221.39,6623921
2022-10-13 14:00:00,219.25,222.99,219.25,221.02,9282067
2022-10-13 13:00:00,219.6102,222.45,216.28,219.26,11434892
2022-10-13 12:00:00,209.41,220.37,208.52,219.65,16822723
2022-10-13 11:00:00,208.15,211.85,206.92,209.44,16032793
2022-10-13 10:00:00,209.26,210.35,206.22,208.1714,15039761
2022-10-13 09:00:00,217.6,219.4,208.33,209.4,2607821
2022-10-13 08:00:00,217.5,218.6,217.4,218.39,223939
2022-10-13 07:00:00,216.77,217.7,216.77,217.55,35915
2022-10-13 06:00:00,216.74,217.32,216.6,216.6,32163
2022-10-13 05:00:00,216.43,217.11,215.83,216.73,53643
2022-10-12 20:00:00,216.78,217.2,216.78,216.8,90836
2022-10-12 19:00:00,217.08,217.3,216.75,216.75,58082
2022-10-12 18:00:00,217.2,217.4,216.88,217.08,186469
2022-10-12 17:00:00,217.24,217.55,216.71,217.27,456414
2022-10-12 16:00:00,217.69,217.95,216.39,217.23,8160339
2022-10-12 15:00:00,216.21,219.2999,215.44,217.68,9451320
2022-10-12 14:00:00,216.0597,216.77,214.51,216.2117,4890788
2022-10-12 13:00:00,216.17,216.7276,213.9101,216.0414,6152319
2022-10-12 12:00:00,213.08,217.56,212.9185,216.1614,9760884
2022-10-12 11:00:00,214.105,214.46,211.59,213.02,11548534
2022-10-12 10:00:00,216.74,217.49,211.51,214.1044,12758004
2022-10-12 09:00:00,218.205,219.69,215.5,216.86,1122644
2022-10-12 08:00:00,218.54,219.67,218.18,218.25,250174
2022-10-12 07:00:00,218.77,218.9,218.1,218.51,56951
2022-10-12 06:00:00,218.04,219.11,218.03,218.6,92628
2022-10-12 05:00:00,218.4,218.68,217.35,218.1,166495
2022-10-11 20:00:00,215.92,216.05,215.17,215.2,190632
2022-10-11 19:00:00,216.1,216.48,215.65,215.82,144128
2022-10-11 18:00:00,216.9,216.98,215.8,216.1,264899
2022-10-11 17:00:00,216.5,216.98,216.35,216.92,606970
2022-10-11 16:00:00,215.75,216.84,215.0,216.59,11650256
2022-10-11 15:00:00,220.675,221.11,215.38,215.77,11041187
2022-10-11 14:00:00,223.14,223.67,220.3219,220.68,6862145
2022-10-11 13:00:00,223.0041,224.6799,221.52,223.15,6710656
2022-10-11 12:00:00,221.44,224.7475,221.2,222.94,8772617
2022-10-11 11:00:00,220.99,224.35,219.9,221.4647,16253174
2022-10-11 10:00:00,221.8,225.75,219.56,220.99,12265975
2022-10-11 09:00:00,220.7399,222.78,219.62,221.82,462651
2022-10-11 08:00:00,220.3,221.37,220.0,221.37,178468
2022-10-11 07:00:00,219.94,220.3,219.3,220.15,88047
2022-10-11 06:00:00,219.91,220.13,219.31,219.85,64784
2022-10-11 05:00:00,221.36,222.0,219.13,219.9,181295
2022-10-10 20:00:00,223.25,223.95,223.0,223.0001,134873
2022-10-10 19:00:00,222.55,223.32,222.32,223.26,85050
2022-10-10 18:00:00,222.63,222.63,222.33,222.55,57298
2022-10-10 17:00:00,222.96,223.04,222.11,222.74,723501
2022-10-10 16:00:00,223.46,224.75,222.85,222.94,8032407
2022-10-10 15:00:00,225.02,225.22,222.55,223.4304,6214644
2022-10-10 14:00:00,222.72,226.25,221.65,225.04,8235802
2022-10-10 13:00:00,224.94,225.1,222.55,222.73,5240131
2022-10-10 12:00:00,221.12,225.58,220.94,224.92,7708038
2022-10-10 11:00:00,224.5,226.51,220.71,221.16,13709355
2022-10-10 10:00:00,224.32,226.99,218.3582,224.55,14984795
2022-10-10 09:00:00,220.55,224.32,219.1215,224.32,746142
2022-10-10 08:00:00,220.23,222.72,220.2,222.57,368416
2022-10-10 07:00:00,220.59,220.78,220.21,220.4,61559
2022-10-10 06:00:00,219.5,220.69,219.04,220.51,111336
2022-10-10 05:00:00,223.46,223.8,218.0,219.65,392073
2022-10-07 20:00:00,222.4,223.93,222.22,223.8,210863
2022-10-07 19:00:00,222.26,223.07,222.0,222.4,411466
2022-10-07 18:00:00,222.47,223.06,221.75,222.156,227905
2022-10-07 17:00:00,223.07,223.17,222.33,222.45,1089437
2022-10-07 16:00:00,223.63,224.65,222.02,223.08,12239461
2022-10-07 15:00:00,223.74,224.32,222.71,223.655,6445860
2022-10-07 14:00:00,223.27,225.06,222.23,223.7483,9352256
2022-10-07 13:00:00,226.135,226.18,222.09,223.2952,14774959
2022-10-07 12:00:00,228.46,229.4799,225.89,226.13,10790198
2022-10-07 11:00:00,230.2,231.49,228.01,228.47,13616795
2022-10-07 10:00:00,234.1,234.97,229.655,230.1524,10979427
2022-10-07 09:00:00,239.2,239.5,233.25,234.19,1393426
2022-10-07 08:00:00,238.96,239.5,238.62,238.62,121062
2022-10-07 07:00:00,239.49,239.58,238.43,239.0,48413
2022-10-07 06:00:00,237.82,239.7,237.8,239.5,83287
2022-10-07 05:00:00,237.83,237.98,237.0,237.68,68568
2022-10-06 20:00:00,236.89,237.2,236.52,236.7,142033
2022-10-06 19:00:00,237.32,237.41,236.77,236.9,103590
2022-10-06 18:00:00,237.2,238.15,237.0,237.53,235027
2022-10-06 17:00:00,238.18,238.3,237.0328,237.1258,666348
2022-10-06 16:00:00,239.19,240.18,238.0,238.19,8050878
2022-10-06 15:00:00,241.71,241.99,238.42,239.21,6456088
2022-10-06 14:00:00,240.27,242.88,238.865,241.6503,7205180
2022-10-06 13:00:00,237.87,241.65,236.93,240.235,8837848
2022-10-06 12:00:00,238.27,239.99,236.37,237.87,9216475
2022-10-06 11:00:00,241.0,241.07,235.35,238.275,14610974
2022-10-06 10:00:00,239.9,244.58,238.54,240.96,11514345
2022-10-06 09:00:00,238.19,242.74,237.0102,239.99,623876
2022-10-06 08:00:00,238.0,238.53,237.07,237.9,204803
2022-10-06 07:00:00,237.9,238.47,237.53,237.83,53718
2022-10-06 06:00:00,239.06,239.27,237.87,237.87,40330
2022-10-06 05:00:00,241.8,241.8,238.44,239.2,140410
2022-10-05 20:00:00,239.75,240.99,239.52,240.99,132581
2022-10-05 19:00:00,239.8,239.99,239.34,239.69,71578
2022-10-05 18:00:00,240.55,240.81,238.88,239.81,626436
2022-10-05 17:00:00,240.76,241.5,239.5963,240.44,719525
2022-10-05 16:00:00,240.22,242.32,239.9,240.71,11974335
2022-10-05 15:00:00,237.915,240.375,237.66,240.2061,8567660
2022-10-05 14:00:00,236.8,240.3,236.65,237.98,9802842
2022-10-05 13:00:00,235.8,237.52,235.2047,236.78,10247919
2022-10-05 12:00:00,234.21,236.19,233.27,235.755,12609384
2022-10-05 11:00:00,241.05,241.05,233.74,234.25,17105008
2022-10-05 10:00:00,244.73,246.6697,239.25,241.05,12199299
2022-10-05 09:00:00,247.17,248.09,244.0,244.75,800956
2022-10-05 08:00:00,247.24,247.24,245.38,245.57,209713
2022-10-05 07:00:00,246.33,247.44,246.0,247.24,38980
2022-10-05 06:00:00,246.23,247.03,246.0,246.25,43836
2022-10-05 05:00:00,247.24,247.45,244.87,246.25,158737
2022-10-04 20:00:00,248.13,248.4,247.66,247.7,145468
2022-10-04 19:00:00,248.9,249.14,248.05,248.18,116175
2022-10-04 18:00:00,248.6,249.44,248.4,249.0,120980
2022-10-04 17:00:00,249.44,249.99,248.51,248.6,1276288
2022-10-04 16:00:00,248.285,249.69,246.6,249.67,12148664
2022-10-04 15:00:00,246.89,249.24,246.3,248.303,8976878
