time,open,high,low,close,volume
2022-10-13 20:00:00,121.64,121.64,121.64,121.64,100
2022-10-13 18:00:00,121.62,121.62,121.62,121.62,100
2022-10-13 17:00:00,121.79,121.79,121.61,121.61,205718
2022-10-13 16:00:00,121.9913,122.15,121.45,121.79,1511936
2022-10-13 15:00:00,121.18,122.11,120.77,122.0,457316
2022-10-13 14:00:00,120.55,121.2,120.31,121.14,427133
2022-10-13 13:00:00,120.09,120.75,119.93,120.53,495247
2022-10-13 12:00:00,117.24,120.55,117.17,120.01,914093
2022-10-13 11:00:00,117.04,117.99,116.88,117.22,539103
2022-10-13 10:00:00,116.3,117.16,115.545,117.02,680107
2022-10-13 09:00:00,117.6924,118.75,116.0,116.4869,10555
2022-10-13 08:00:00,117.99,117.99,117.99,117.99,434
2022-10-13 06:00:00,117.85,117.85,117.85,117.85,117
2022-10-12 19:00:00,117.57,117.57,117.57,117.57,709
2022-10-12 18:00:00,117.57,117.57,117.57,117.57,18471
2022-10-12 17:00:00,117.57,117.57,117.57,117.57,116995
2022-10-12 16:00:00,117.81,117.94,117.54,117.63,817812
2022-10-12 15:00:00,117.77,118.35,117.57,117.82,341347
2022-10-12 14:00:00,117.93,118.21,117.2,117.78,294322
2022-10-12 13:00:00,118.355,118.4752,117.83,117.94,212701
2022-10-12 12:00:00,118.27,118.69,118.19,118.36,372720
2022-10-12 11:00:00,118.5,118.81,118.11,118.28,333755
2022-10-12 10:00:00,118.03,118.6483,117.7,118.52,324059
2022-10-12 09:00:00,118.1,118.1,118.1,118.1,234
2022-10-11 20:00:00,117.81,117.81,117.81,117.81,105
2022-10-11 18:00:00,118.09,118.09,118.09,118.09,877
2022-10-11 17:00:00,117.8,117.8,117.8,117.8,105530
2022-10-11 16:00:00,117.525,118.07,117.075,117.83,1019638
2022-10-11 15:00:00,118.95,119.02,117.52,117.54,393279
2022-10-11 14:00:00,118.93,119.23,118.84,118.95,358013
2022-10-11 13:00:00,118.9501,119.19,118.52,118.94,371724
2022-10-11 12:00:00,118.08,119.2,118.08,118.96,471843
2022-10-11 11:00:00,117.715,118.55,117.68,118.07,577467
2022-10-11 10:00:00,117.5,117.95,116.94,117.69,357326
2022-10-11 09:00:00,117.35,117.6,117.124,117.6,2884
2022-10-11 08:00:00,117.31,117.31,117.0,117.25,2181
2022-10-11 07:00:00,116.93,117.0,116.93,117.0,2565
2022-10-11 06:00:00,117.1,117.1,117.1,117.1,197
2022-10-10 20:00:00,117.65,117.65,117.65,117.65,905
2022-10-10 19:00:00,117.7,117.75,117.7,117.75,1786
2022-10-10 18:00:00,117.5,117.5,117.5,117.5,100
2022-10-10 17:00:00,117.75,118.4,117.75,117.75,2159137
2022-10-10 16:00:00,117.93,118.25,117.76,117.8,828077
2022-10-10 15:00:00,118.17,118.3309,117.825,117.97,316454
2022-10-10 14:00:00,117.2,118.25,117.04,118.15,527808
2022-10-10 13:00:00,118.07,118.2,117.21,117.22,316137
2022-10-10 12:00:00,118.28,118.44,117.62,118.075,487181
2022-10-10 11:00:00,118.865,118.985,118.15,118.28,345244
2022-10-10 10:00:00,119.13,119.96,118.859,118.859,312164
2022-10-10 09:00:00,119.0,119.0,118.5,118.811,3040
2022-10-07 20:00:00,118.77,118.77,118.68,118.68,801
2022-10-07 19:00:00,118.82,118.82,118.8,118.8,300
2022-10-07 18:00:00,118.75,118.75,118.74,118.74,286
2022-10-07 17:00:00,118.82,118.88,118.81,118.82,70313
2022-10-07 16:00:00,118.8693,119.04,118.07,118.86,1295200
2022-10-07 15:00:00,119.33,119.49,118.68,118.86,463926
2022-10-07 14:00:00,119.65,119.75,119.305,119.35,279234
2022-10-07 13:00:00,119.68,120.089,119.57,119.66,293619
2022-10-07 12:00:00,119.85,120.35,119.59,119.69,497186
2022-10-07 11:00:00,120.36,120.58,119.675,119.845,595180
2022-10-07 10:00:00,121.91,121.91,120.28,120.3949,321188
2022-10-07 09:00:00,122.908,122.908,120.84,121.73,5413
