time,open,high,low,close,volume
2022-10-13 20:00:00,142.65,142.97,142.53,142.83,48398
2022-10-13 19:00:00,142.63,142.81,142.29,142.63,66878
2022-10-13 18:00:00,142.68,142.7497,142.55,142.6764,71140
2022-10-13 17:00:00,142.99,143.3,142.63,142.69,1469312
2022-10-13 16:00:00,142.8199,143.59,142.071,142.93,19161137
2022-10-13 15:00:00,141.805,142.99,140.9,142.81,9180135
2022-10-13 14:00:00,140.57,142.37,140.57,141.81,9544703
2022-10-13 13:00:00,140.94,141.37,140.07,140.565,10304312
2022-10-13 12:00:00,136.26,142.61,135.98,140.94,22097464
2022-10-13 11:00:00,136.25,136.89,135.62,136.28,15642495
2022-10-13 10:00:00,134.45,136.395,133.88,136.26,15996068
2022-10-13 09:00:00,138.8,140.0,133.2,134.43,1925933
2022-10-13 08:00:00,138.82,139.45,138.75,139.27,174752
2022-10-13 07:00:00,138.62,138.98,138.62,138.97,22572
2022-10-13 06:00:00,138.67,139.0,138.61,138.61,37291
2022-10-13 05:00:00,138.8,138.8,138.36,138.68,33093
2022-10-12 20:00:00,138.52,138.77,138.48,138.61,41229
2022-10-12 19:00:00,138.48,138.56,138.46,138.54,33111
2022-10-12 18:00:00,138.46,138.48,138.34,138.4504,32565
2022-10-12 17:00:00,138.34,138.55,138.31,138.47,1908844
2022-10-12 16:00:00,138.5,138.8,138.16,138.295,10918415
2022-10-12 15:00:00,138.525,139.36,138.25,138.51,9697501
2022-10-12 14:00:00,139.4699,139.6,138.37,138.5301,5901557
2022-10-12 13:00:00,140.0,140.09,138.94,139.4633,6020047
2022-10-12 12:00:00,139.44,140.14,139.05,139.99,8384968
2022-10-12 11:00:00,139.9,140.2,138.831,139.43,11142487
2022-10-12 10:00:00,139.5,140.36,138.6507,139.8937,9903381
2022-10-12 09:00:00,140.15,140.45,139.14,139.55,510336
2022-10-12 08:00:00,140.09,140.44,139.95,140.32,101047
2022-10-12 07:00:00,140.24,140.4,140.0,140.12,26178
2022-10-12 06:00:00,139.83,140.59,139.81,140.23,32224
2022-10-12 05:00:00,140.22,140.24,139.75,139.95,49454
2022-10-11 20:00:00,139.11,139.24,139.0,139.24,38273
2022-10-11 19:00:00,139.15,139.33,139.03,139.11,35641
2022-10-11 18:00:00,139.23,139.25,139.07,139.15,25357
2022-10-11 17:00:00,139.05,139.34,138.71,139.25,1744988
2022-10-11 16:00:00,138.655,139.25,138.22,138.95,14714051
2022-10-11 15:00:00,140.44,140.55,138.52,138.65,8700296
2022-10-11 14:00:00,140.78,140.93,139.83,140.44,6912845
2022-10-11 13:00:00,140.405,141.35,140.01,140.7776,7894043
2022-10-11 12:00:00,139.07,140.78,139.02,140.3809,9310257
2022-10-11 11:00:00,138.88,139.83,138.36,139.0612,11788973
2022-10-11 10:00:00,140.03,140.0702,138.8401,138.88,10105983
2022-10-11 09:00:00,139.7,140.58,139.0115,140.06,363042
2022-10-11 08:00:00,139.62,140.05,139.48,139.86,160420
2022-10-11 07:00:00,139.17,139.63,139.0,139.62,52018
2022-10-11 06:00:00,139.17,139.46,139.06,139.31,28908
2022-10-11 05:00:00,139.69,140.03,139.04,139.13,49165
2022-10-10 20:00:00,140.86,141.2,140.75,140.92,45620
2022-10-10 19:00:00,140.47,140.97,140.45,140.86,26449
2022-10-10 18:00:00,140.47,140.54,140.35,140.43,21301
2022-10-10 17:00:00,140.42,140.66,140.26,140.5,1307592
2022-10-10 16:00:00,140.79,141.54,140.12,140.35,11779482
2022-10-10 15:00:00,141.27,141.3992,140.4194,140.79,7971177
2022-10-10 14:00:00,139.57,141.89,139.055,141.2699,9915629
2022-10-10 13:00:00,140.4679,140.5195,139.56,139.581,6078894
2022-10-10 12:00:00,139.58,140.82,139.23,140.46,8785681
2022-10-10 11:00:00,138.79,140.46,138.5729,139.5822,11805991
2022-10-10 10:00:00,140.8,140.85,138.67,138.77,11203288
2022-10-10 09:00:00,140.14,140.8,139.8115,140.8,326996
2022-10-10 08:00:00,139.95,140.4,139.9,140.18,181406
2022-10-10 07:00:00,139.95,140.08,139.84,139.93,89678
2022-10-10 06:00:00,139.26,139.9,139.26,139.9,31362
2022-10-10 05:00:00,139.95,139.95,138.9,139.24,85613
2022-10-07 20:00:00,139.95,140.02,139.9,140.02,39454
2022-10-07 19:00:00,140.0,140.02,139.91,139.92,34013
2022-10-07 18:00:00,140.01,140.06,139.95,140.0,73912
2022-10-07 17:00:00,140.09,140.35,139.93,140.01,3460999
2022-10-07 16:00:00,140.1704,140.535,139.445,140.1,18455700
2022-10-07 15:00:00,140.1335,140.56,139.92,140.18,6636971
2022-10-07 14:00:00,140.3,140.6,139.94,140.15,6969425
2022-10-07 13:00:00,141.12,141.37,140.1825,140.3,7038955
2022-10-07 12:00:00,141.33,141.645,140.79,141.1206,9012425
2022-10-07 11:00:00,141.54,141.86,140.88,141.334,12131962
2022-10-07 10:00:00,142.58,143.1,141.39,141.54,11014921
2022-10-07 09:00:00,144.8892,145.25,141.64,142.6,1288505
2022-10-07 08:00:00,144.71,144.91,144.41,144.65,97695
2022-10-07 07:00:00,144.96,144.96,144.52,144.66,24289
2022-10-07 06:00:00,144.9,145.13,144.88,145.0,12985
2022-10-07 05:00:00,144.83,144.83,144.15,144.82,21606
