time,open,high,low,close,volume
2022-10-13 20:00:00,119.76,119.85,119.65,119.84,40926
2022-10-13 19:00:00,119.62,119.8,119.54,119.71,30367
2022-10-13 18:00:00,119.5,119.7,119.5,119.6,33355
2022-10-13 17:00:00,119.6,119.8678,119.33,119.45,604267
2022-10-13 16:00:00,119.8,120.3299,118.89,119.58,12345881
2022-10-13 15:00:00,119.46,119.98,118.36,119.815,7663357
2022-10-13 14:00:00,118.17,120.55,118.07,119.475,8142075
2022-10-13 13:00:00,118.91,119.5,116.92,118.1501,8672931
2022-10-13 12:00:00,113.565,120.7799,113.2552,118.9,16935792
2022-10-13 11:00:00,110.95,114.4,110.47,113.59,14092490
2022-10-13 10:00:00,110.17,111.59,108.13,110.9555,12689514
2022-10-13 09:00:00,114.7485,116.55,109.6,110.18,1313924
2022-10-13 08:00:00,114.7,115.4,114.63,115.0,55865
2022-10-13 07:00:00,114.7,114.98,114.61,114.69,8917
2022-10-13 06:00:00,114.74,115.09,114.68,114.74,5209
2022-10-13 05:00:00,114.69,114.76,114.25,114.74,11601
2022-10-12 20:00:00,114.98,115.13,114.93,114.95,30077
2022-10-12 19:00:00,115.0,115.07,114.9,115.0,14566
2022-10-12 18:00:00,114.86,114.95,114.8,114.91,29258
2022-10-12 17:00:00,115.02,115.25,114.7,114.91,879830
2022-10-12 16:00:00,115.31,115.92,114.85,115.01,7281124
2022-10-12 15:00:00,115.1456,116.39,114.82,115.3072,6685552
2022-10-12 14:00:00,115.59,115.9,114.8801,115.12,4006717
2022-10-12 13:00:00,115.91,116.01,114.54,115.5984,4676897
2022-10-12 12:00:00,113.645,116.17,113.5101,115.9,6940585
2022-10-12 11:00:00,115.56,115.8592,113.45,113.6303,8372469
2022-10-12 10:00:00,116.6,117.35,114.72,115.54,7586906
2022-10-12 09:00:00,117.2,117.4499,115.41,116.55,269614
2022-10-12 08:00:00,117.28,117.43,117.1,117.2,24582
2022-10-12 07:00:00,117.44,117.44,117.0,117.15,11371
2022-10-12 06:00:00,116.96,117.73,116.95,117.2,18839
2022-10-12 05:00:00,117.0,117.12,116.7,117.01,20463
2022-10-11 20:00:00,116.06,116.34,115.87,116.2988,31259
2022-10-11 19:00:00,115.95,116.09,115.86,116.05,38000
2022-10-11 18:00:00,116.2,116.2,115.75,115.91,45793
2022-10-11 17:00:00,115.86,116.21,115.69,116.1,976881
2022-10-11 16:00:00,115.015,116.06,114.12,115.86,9969826
2022-10-11 15:00:00,117.43,117.68,114.87,115.02,6583261
2022-10-11 14:00:00,117.61,118.38,116.5401,117.4203,7215393
2022-10-11 13:00:00,116.84,118.46,115.82,117.61,8613189
2022-10-11 12:00:00,113.46,117.61,113.43,116.85,10383831
2022-10-11 11:00:00,113.75,115.3444,112.83,113.4705,11567595
2022-10-11 10:00:00,115.8,116.92,113.72,113.74,8161066
2022-10-11 09:00:00,114.8416,116.409,114.79,115.7945,233307
2022-10-11 08:00:00,114.8,115.65,114.79,115.5,71084
2022-10-11 07:00:00,114.61,115.0,114.59,114.97,42695
2022-10-11 06:00:00,114.66,115.07,114.63,114.89,27127
2022-10-11 05:00:00,115.86,115.86,114.6,114.7,28100
